title;start;slurmConfig;copyConfigFrom;cm_CES_lab_eff_factor;path_gdx;path_gdx_ref;climate;cm_nash_autoconverge;cm_budgetCO2_absDevTol;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;cm_budgetCO2from2020;cm_startyear;carbonprice;cm_taxCO2_functionalForm;cm_taxCO2_peakBudgYr;cm_peakBudgYr;cm_taxCO2_regiDiff;cm_taxCO2_regiDiff_startyearValue;cm_taxCO2_IncAfterPeakBudgYr;cm_emiscen;cm_maxProdBiolc;cm_33EW;c_biopyrEstablished;cm_33OAE;cm_33_OAE_limit_EEZ;cm_frac_NetNegEmi;cm_NetNegEmi_calculation;c_ccsinjecratescen;c_changeProdCost;cm_CESMkup_build;cm_CESMkup_ind;cm_wasteIncinerationCCSshare;techpol;regipol;cm_implicitQttyTarget;cm_GDPpopScen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;c_regi_earlyreti_rate;cm_prtpScen;cm_fetaxscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_EDGEtr_scen;description
## EcPrice600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_1p0;1;9;SSP2-EcPrice600_def;1;output/SSP2-EcPrice600-def_2025-10-06_17.36.16/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_1p05;1;9;SSP2-EcPrice600_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_1p10;1;9;SSP2-EcPrice600_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_1p15;1;9;SSP2-EcPrice600_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_1p20;1;9;SSP2-EcPrice600_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_1p25;1;9;SSP2-EcPrice600_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_1p30;1;9;SSP2-EcPrice600_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_0p95;1;9;SSP2-EcPrice600_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_0p90;1;9;SSP2-EcPrice600_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_0p85;1;9;SSP2-EcPrice600_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_0p80;1;9;SSP2-EcPrice600_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_0p75;1;9;SSP2-EcPrice600_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice600_lab_0p70;1;9;SSP2-EcPrice600_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
## EcPrice1300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_1p0;1;9;SSP2-EcPrice1300_def;1;output/SSP2-EcPrice1300-def_2025-10-07_11.05.00/fulldata.gdx;output/SSP2-NPi2025_def_2025-10-14_15.22.56/fulldata.gdx;off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_1p05;1;9;SSP2-EcPrice1300_lab_1p0;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_1p10;1;9;SSP2-EcPrice1300_lab_1p0;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_1p15;1;9;SSP2-EcPrice1300_lab_1p0;1.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_1p20;1;9;SSP2-EcPrice1300_lab_1p0;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_1p25;1;9;SSP2-EcPrice1300_lab_1p0;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_1p30;1;9;SSP2-EcPrice1300_lab_1p0;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_0p95;1;9;SSP2-EcPrice1300_lab_1p0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_0p90;1;9;SSP2-EcPrice1300_lab_1p0;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_0p85;1;9;SSP2-EcPrice1300_lab_1p0;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_0p80;1;9;SSP2-EcPrice1300_lab_1p0;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_0p75;1;9;SSP2-EcPrice1300_lab_1p0;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EcPrice1300_lab_0p70;1;9;SSP2-EcPrice1300_lab_1p0;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
